Société_de_facturation;Société_de_livraison;Code_avancement;Numéro_de_commande;Numéro_de_version;Date_accordée_au_client
01;01;C;C01/QES058A;2020-11-25-03.57.08.046000;30/11/2020
01;01;C;C01/QES060;2020-11-25-03.57.08.154000;26/11/2020
01;01;C;C01/QES062;2020-11-25-03.57.08.358000;26/11/2020
01;01;C;C01/QES064;2020-11-25-03.57.08.642000;26/11/2020
01;01;C;C01/QES064A;2020-11-25-03.57.08.795000;28/12/2020
01;01;C;C01/QES064B;2020-11-25-03.57.08.845000;28/12/2020
01;01;C;C01/QES064C;2020-11-25-03.57.08.912000;29/12/2020
01;01;C;C01/QES066;2020-11-25-03.57.09.022000;30/11/2020
01;01;C;C01/QES067A;2020-11-25-03.57.09.122000;26/11/2020
01;01;C;C01/QES069;2020-11-25-03.57.09.316000;26/11/2020
01;01;C;C01/QES070;2020-11-25-03.57.09.484000;26/11/2020
01;01;C;C01/QES071;2020-11-25-03.57.09.591000;26/11/2020
01;01;C;C01/QES071A;2020-11-25-03.57.09.684000;04/12/2020
01;01;C;C01/QES073;2020-11-25-03.57.09.768000;26/11/2020
01;01;C;C01/QES073A;2020-11-25-03.57.09.858000;01/12/2020
01;01;C;C01/QES073B;2020-11-25-03.57.09.956000;26/11/2020
01;01;C;C01/QES076;2020-11-25-03.57.10.048000;30/11/2020
01;01;C;C01/QES077;2020-11-25-03.57.10.209000;26/11/2020
01;01;C;C01/QES080;2020-11-25-03.57.10.463000;26/11/2020
01;01;C;C01/QES082;2020-11-25-03.57.10.762000;26/11/2020
01;01;C;C01/QES085A;2020-11-25-03.57.10.956000;26/11/2020
01;01;C;C01/QES088;2020-11-25-03.57.11.145000;26/11/2020
01;01;C;C01/QES089A;2020-11-25-04.00.26.572000;26/11/2020
01;01;C;C01/QES089C;2020-11-25-04.00.26.639000;04/12/2020
01;01;C;C01/QES093;2020-11-25-04.00.26.751000;26/11/2020
01;01;C;C01/QES093A;2020-11-25-04.00.26.858000;14/12/2020
01;01;C;C01/QES097;2020-11-25-04.00.26.962000;26/11/2020
01;01;C;C01/QES100;2020-11-25-04.00.27.090000;26/11/2020
01;01;C;C01/QES101;2020-11-25-04.00.27.252000;26/11/2020
01;01;C;C01/QES102;2020-11-25-04.00.27.356000;26/11/2020
01;01;C;C01/QES102A;2020-11-25-04.00.27.397000;11/12/2020
01;01;C;C01/QES102B;2020-11-25-04.00.27.436000;08/12/2020
01;01;C;C01/QES104;2020-11-25-04.00.27.497000;26/11/2020
01;01;C;C01/QES106;2020-11-25-04.00.27.595000;26/11/2020
01;01;C;C01/QES106A;2020-11-25-04.00.27.690000;26/11/2020
01;01;C;C01/QES107;2020-11-25-04.00.27.831000;26/11/2020
01;01;C;C01/QES107A;2020-11-25-04.00.27.957000;04/12/2020
01;01;C;C01/QES109;2020-11-25-04.00.28.060000;26/11/2020
01;01;C;C01/QES111;2020-11-25-04.00.28.173000;07/12/2020
01;01;C;C01/QES112;2020-11-25-04.00.28.413000;26/11/2020
01;01;C;C01/QES114A;2020-11-25-04.00.28.572000;26/11/2020
01;01;C;C01/QES146;2020-11-25-06.20.16.812000;26/11/2020
01;01;M;C01/QDX098;2020-11-25-06.26.47.052000;14/01/2021
01;01;M;C01/QDX471;2020-11-25-06.26.47.125000;14/01/2021
01;01;M;C01/QDX520;2020-11-25-06.26.47.169000;14/01/2021
01;01;M;C01/QEQ389;2020-11-25-06.26.47.217000;01/12/2020
01;01;M;C01/QEH227;2020-11-25-06.36.32.431000;04/01/2021
01;01;C;C01/QES147;2020-11-25-06.36.32.507000;26/11/2020
01;01;C;C01/QES148;2020-11-25-06.36.32.564000;08/12/2020
01;01;C;C01/QES149A;2020-11-25-06.36.32.627000;26/11/2020
01;01;C;C01/QES149B;2020-11-25-06.36.32.691000;04/12/2020
01;01;M;C01/QEE244;2020-11-25-06.39.47.802000;14/12/2020
01;01;C;C01/QES153;2020-11-25-06.43.03.096000;26/11/2020
01;01;M;C01/MAG517;2020-11-25-06.46.18.332000;01/12/2020
01;01;M;C01/MBR200;2020-11-25-06.46.18.419000;01/12/2020
01;01;M;C01/NWU810;2020-11-25-06.46.18.498000;01/12/2020
01;01;M;C01/NWU851;2020-11-25-06.46.18.576000;01/12/2020
01;01;M;C01/PKB139;2020-11-25-06.46.18.653000;04/12/2020
01;01;M;C01/PKX535;2020-11-25-06.46.18.719000;04/12/2020
01;01;M;C01/PKX535A;2020-11-25-06.46.18.791000;04/12/2020
01;01;M;C01/PQM725;2020-11-25-06.49.34.032000;04/12/2020
01;01;M;C01/PZR004;2020-11-25-06.49.34.103000;27/11/2020
01;01;M;C01/PZR044;2020-11-25-06.49.34.156000;07/12/2020
